customer_id,age,annual_income,spending_score,purchase_frequency
CUST_1001,51,149.2,81,37
CUST_1002,54,64.8,75,23
CUST_1003,35,115.3,78,39
CUST_1004,34,53.9,58,32
CUST_1005,37,68.1,33,4
CUST_1006,46,131.9,76,49
CUST_1007,45,89.8,69,35
CUST_1008,43,86.5,82,41
CUST_1009,37,30.8,16,2
CUST_1010,27,29.8,90,21
CUST_1011,21,27.9,76,35
CUST_1012,52,111.2,71,37
CUST_1013,36,31.9,83,29
CUST_1014,30,110.1,84,49
CUST_1015,54,149.3,91,44
CUST_1016,22,44.3,85,23
CUST_1017,45,146.0,94,29
CUST_1018,49,70.4,72,21
CUST_1019,19,19.1,81,27
CUST_1020,31,50.3,21,4
CUST_1021,47,105.7,82,44
CUST_1022,46,106.9,96,41
CUST_1023,67,48.1,20,2
CUST_1024,38,128.8,83,43
CUST_1025,53,143.4,97,47
CUST_1026,37,29.2,74,35
CUST_1027,36,29.4,93,32
CUST_1028,31,61.1,12,2
CUST_1029,24,15.6,80,25
CUST_1030,43,77.6,66,36
CUST_1031,68,23.1,9,10
CUST_1032,47,63.0,70,36
CUST_1033,42,67.8,19,10
CUST_1034,45,108.0,94,48
CUST_1035,47,116.5,77,33
CUST_1036,35,146.2,79,49
CUST_1037,50,98.5,92,40
CUST_1038,43,107.7,99,50
CUST_1039,37,92.9,91,42
CUST_1040,47,60.9,35,4
CUST_1041,29,103.7,92,27
CUST_1042,42,127.6,93,40
CUST_1043,36,83.1,57,37
CUST_1044,32,92.1,93,43
CUST_1045,37,52.0,73,27
CUST_1046,31,54.0,61,42
CUST_1047,28,54.1,9,2
CUST_1048,43,76.1,70,35
CUST_1049,54,88.6,60,29
CUST_1050,20,34.6,74,29
CUST_1051,23,27.5,71,13
CUST_1052,53,29.3,28,6
CUST_1053,18,24.0,66,22
CUST_1054,42,149.3,87,41
CUST_1055,30,62.6,19,6
CUST_1056,55,54.5,50,43
CUST_1057,63,32.9,10,2
CUST_1058,53,104.2,91,49
CUST_1059,35,74.4,65,46
CUST_1060,54,36.4,17,3
CUST_1061,34,69.1,55,20
CUST_1062,40,100.3,94,33
CUST_1063,37,122.9,88,25
CUST_1064,48,108.4,77,26
CUST_1065,32,24.2,85,33
CUST_1066,50,92.6,99,34
CUST_1067,47,99.4,74,40
CUST_1068,44,79.9,63,33
CUST_1069,56,60.1,31,5
CUST_1070,51,80.2,45,36
CUST_1071,55,55.2,7,3
CUST_1072,35,42.1,72,30
CUST_1073,35,63.1,73,34
CUST_1074,39,21.2,91,14
CUST_1075,25,42.7,21,8
CUST_1076,58,22.9,19,6
CUST_1077,30,22.6,60,35
CUST_1078,48,52.9,67,31
CUST_1079,35,44.8,64,27
CUST_1080,27,27.3,68,32
CUST_1081,45,69.6,17,9
CUST_1082,46,24.0,35,10
CUST_1083,50,84.4,47,25
CUST_1084,55,26.4,12,2
CUST_1085,27,28.9,94,25
CUST_1086,36,32.4,16,4
CUST_1087,34,145.9,93,49
CUST_1088,19,39.3,86,31
CUST_1089,25,21.2,66,31
CUST_1090,32,32.9,63,19
CUST_1091,30,28.2,94,18
CUST_1092,22,30.1,78,19
CUST_1093,46,123.9,91,35
CUST_1094,39,85.1,73,27
CUST_1095,41,33.8,22,4
CUST_1096,57,44.8,16,8
CUST_1097,50,112.1,74,34
CUST_1098,33,57.7,20,5
CUST_1099,39,84.3,49,45
CUST_1100,25,48.1,35,8
CUST_1101,42,59.7,53,30
CUST_1102,32,40.4,65,29
CUST_1103,31,60.7,42,47
CUST_1104,24,39.1,95,18
CUST_1105,35,63.5,15,6
CUST_1106,24,43.1,67,35
CUST_1107,37,54.8,27,5
CUST_1108,37,47.6,29,6
CUST_1109,51,46.7,16,6
CUST_1110,39,118.3,85,39
CUST_1111,33,37.8,80,18
CUST_1112,38,111.9,88,32
CUST_1113,30,60.4,66,29
CUST_1114,36,63.2,64,38
CUST_1115,45,72.0,61,28
CUST_1116,68,52.1,20,9
CUST_1117,53,81.8,50,24
CUST_1118,33,65.8,22,2
CUST_1119,20,43.4,63,12
CUST_1120,30,62.1,12,3
