area,bedrooms,bathrooms,location_score,property_age,price
2920.0,1,1,4.7,5,420429.42
3052.3,5,1,7.0,2,530948.94
1426.2,5,1,6.8,23,336279.69
2584.5,2,2,7.0,26,425481.01
3343.8,2,2,5.3,5,495624.28
3360.4,1,1,5.6,12,476193.89
2793.2,1,1,6.6,30,397822.69
2609.7,5,3,6.9,23,480358.1
2997.5,3,1,8.8,28,486145.03
1636.8,3,2,5.5,7,335551.5
3141.5,1,1,6.6,8,458233.05
1997.1,5,2,7.7,27,422147.27
848.6,1,1,5.7,3,199465.66
3997.3,3,2,7.5,13,622296.66
2932.1,2,2,3.9,24,413458.36
1582.7,5,4,9.1,13,430236.93
4190.5,2,2,3.6,2,579777.06
1192.6,2,2,7.1,13,279718.39
4186.2,5,3,9.6,28,705730.62
3065.0,1,1,8.2,11,469181.04
2193.4,4,1,9.5,29,437367.61
4100.2,2,1,8.9,10,627355.39
2452.2,2,2,5.5,6,405829.58
3414.1,5,1,7.1,16,555240.53
3948.3,3,2,3.4,29,529860.14
929.6,4,1,9.7,18,315472.69
1105.8,4,2,4.8,28,258169.88
4073.5,5,2,7.8,13,673387.99
2957.1,4,4,3.8,8,483961.52
724.7,5,2,7.0,1,288936.86
2890.4,2,1,9.2,28,466952.57
2475.3,3,3,4.5,5,428250.05
3782.5,5,4,4.7,16,611524.94
1326.0,1,1,5.4,14,239400.49
3238.2,1,1,5.7,11,464513.85
1037.9,2,2,6.6,5,265606.63
1638.8,2,1,6.0,28,291787.34
997.6,5,1,9.6,30,324807.31
1489.1,4,4,6.3,28,342721.81
858.2,4,1,9.7,9,321632.36
3437.2,3,3,7.7,24,564700.45
2623.0,4,2,4.3,7,450004.19
2706.1,5,1,8.1,2,509773.85
2342.6,5,2,3.4,17,393888.23
1309.7,5,1,7.6,8,348542.51
3992.7,5,2,6.9,2,656684.63
2138.2,5,3,9.4,7,497196.52
1765.4,3,3,3.9,21,313493.94
1772.4,1,1,6.1,19,303585.93
910.1,2,2,3.9,12,211828.28
3771.4,3,3,4.1,27,534818.36
1723.9,5,1,7.5,18,378516.58
3005.0,2,2,3.8,4,447598.33
1201.8,3,2,7.9,7,324047.94
3677.8,5,4,4.7,30,583980.07
977.7,4,3,3.3,11,257269.38
2911.8,3,2,8.0,18,500811.35
2641.2,1,1,9.4,23,442010.57
2586.8,3,2,5.9,2,444813.17
3841.4,1,1,4.4,8,512292.67
1905.6,5,4,9.6,24,455907.07
3951.1,2,2,9.0,1,622008.21
3931.9,4,2,4.8,26,573334.56
2008.0,1,1,4.5,27,294349.04
1891.3,2,2,3.2,7,305612.32
1639.0,1,1,5.4,17,268883.57
4133.1,5,3,9.4,4,724381.77
1577.3,5,3,3.3,20,323694.28
3236.3,3,3,7.1,17,524405.92
3843.2,2,2,3.3,14,505485.83
3935.8,5,2,5.5,3,634815.49
3918.7,5,3,7.5,4,669152.09
1716.1,3,3,5.2,23,325084.1
1101.9,4,4,7.6,29,313889.55
2670.3,4,1,5.1,7,444430.76
2708.9,3,3,6.0,22,445853.03
2329.8,2,1,4.9,22,354036.82
1839.9,2,2,4.5,7,314436.08
814.1,4,1,6.1,29,232846.31
1340.2,4,4,5.7,5,350043.16
669.7,1,1,4.5,26,149126.32
2488.8,1,1,9.2,4,436097.24
3495.0,5,3,9.5,29,617001.47
3543.3,5,4,8.6,18,634081.27
1215.0,4,4,4.8,8,322847.26
1634.5,5,4,7.3,9,415292.45
3183.1,2,2,5.3,29,455644.04
1141.2,2,2,7.7,23,267711.06
2122.8,3,3,5.8,7,408765.82
2032.6,5,1,8.8,25,429099.81
2343.3,3,3,8.1,28,443495.83
3616.8,5,2,6.3,9,594264.72
753.0,3,3,7.9,27,258277.8
1103.1,5,1,9.2,19,339828.84
746.2,4,2,8.9,6,295387.69
1995.8,2,2,5.2,25,335130.8
1637.8,4,3,8.7,16,389845.67
2564.9,3,2,7.4,25,450284.71
792.9,1,1,4.4,1,184445.71
1496.8,4,1,6.8,7,341548.68
1559.7,3,2,7.1,24,331634.14
3411.2,2,2,3.7,1,498109.74
2694.1,4,4,9.4,7,540470.93
3101.7,2,1,7.7,10,499692.86
2781.5,1,1,5.4,14,403395.43
894.8,3,1,8.8,27,263832.03
2189.0,3,3,7.8,14,424512.74
2502.2,3,3,6.2,27,430462.52
1602.8,2,1,4.9,15,274685.27
2299.7,5,4,5.3,16,458286.06
1295.5,2,2,8.4,11,310898.17
2766.4,3,1,6.5,7,451116.26
3206.3,4,2,7.7,21,543229.85
2241.0,1,1,5.0,13,339745.74
1737.0,5,3,6.2,17,386545.15
4188.0,5,3,5.4,15,645098.33
1542.5,1,1,5.1,24,248092.28
3355.8,2,2,4.5,16,472967.99
2743.0,5,3,9.7,27,534712.35
1457.6,2,2,3.1,18,237767.66
