age,income,credit_score,existing_loans,employment_years,risk
23,141838.28,683,2,3,MEDIUM
29,100457.97,785,3,3,HIGH
21,92609.9,640,3,1,HIGH
42,44676.73,426,2,22,HIGH
51,36032.72,433,3,15,HIGH
25,92973.6,751,0,4,MEDIUM
30,121770.48,555,0,7,MEDIUM
28,90642.98,613,4,8,HIGH
60,49759.52,667,3,14,HIGH
49,58574.44,701,3,9,HIGH
57,98386.36,712,5,3,HIGH
34,98938.35,535,5,2,HIGH
31,51503.42,682,0,5,MEDIUM
21,72247.66,752,4,1,HIGH
39,26014.7,547,5,9,HIGH
65,127731.63,436,5,7,HIGH
37,118902.85,720,4,17,HIGH
33,74292.09,678,1,13,MEDIUM
30,133734.61,823,1,2,MEDIUM
24,42408.5,557,4,4,HIGH
57,135306.68,624,0,14,LOW
65,59403.22,606,2,16,HIGH
55,82736.81,441,4,1,HIGH
48,112347.67,709,2,0,HIGH
26,50157.7,745,4,6,HIGH
22,144947.41,744,2,2,MEDIUM
23,115862.41,489,3,3,HIGH
62,76394.22,542,1,18,MEDIUM
48,100078.52,651,0,15,MEDIUM
43,72226.82,564,5,3,HIGH
31,62565.85,755,3,9,HIGH
63,138258.81,816,4,1,HIGH
50,32831.35,529,2,3,HIGH
46,128384.0,822,0,21,LOW
55,78823.09,427,1,16,HIGH
44,98583.97,655,5,14,HIGH
24,47037.66,681,1,4,HIGH
39,75888.28,757,3,3,HIGH
22,141697.06,711,1,2,MEDIUM
31,60222.27,407,4,11,HIGH
26,49638.18,830,0,6,MEDIUM
28,101668.29,478,3,8,HIGH
39,84591.26,539,3,19,HIGH
51,142570.09,524,3,17,HIGH
30,69181.08,706,4,10,HIGH
29,128275.31,541,3,9,HIGH
53,54862.24,401,2,23,HIGH
40,125009.54,696,5,15,HIGH
30,76925.33,647,2,10,HIGH
56,115833.34,593,3,29,MEDIUM
41,128961.01,757,1,18,LOW
45,50728.18,797,3,1,HIGH
41,113598.73,761,3,12,MEDIUM
63,119464.42,733,1,15,MEDIUM
23,37528.29,702,2,3,HIGH
27,129525.42,625,0,7,MEDIUM
50,23887.75,473,3,27,HIGH
62,141304.69,438,3,25,HIGH
37,63643.03,754,3,17,HIGH
26,126767.13,836,5,6,HIGH
55,68741.16,562,5,22,HIGH
52,129303.11,418,4,2,HIGH
36,99632.81,547,1,16,MEDIUM
26,75378.49,450,5,6,HIGH
27,76572.46,755,2,7,HIGH
22,27656.89,807,0,2,MEDIUM
43,68105.45,474,1,16,HIGH
47,91609.15,805,1,5,MEDIUM
32,31713.11,845,3,12,HIGH
64,51622.06,698,1,7,HIGH
50,100462.27,635,2,21,MEDIUM
21,132565.75,638,2,1,HIGH
55,41431.0,626,2,18,HIGH
40,100589.46,617,5,8,HIGH
50,125972.38,501,3,27,MEDIUM
51,35118.35,595,4,11,HIGH
57,58392.3,758,2,0,HIGH
63,70684.11,404,4,27,HIGH
64,117732.33,425,4,23,HIGH
52,124439.18,546,1,19,MEDIUM
43,48937.56,497,4,8,HIGH
64,114936.01,792,5,21,HIGH
29,99274.52,721,5,1,HIGH
40,118999.09,417,4,11,HIGH
29,33086.41,551,2,9,HIGH
47,43603.73,467,4,27,HIGH
44,87294.84,539,1,8,HIGH
51,140988.24,551,5,27,HIGH
42,120920.6,639,0,4,MEDIUM
35,127797.29,770,5,12,HIGH
56,66990.33,804,3,0,HIGH
37,87998.39,632,2,17,MEDIUM
64,54245.85,595,5,30,HIGH
44,35326.57,519,3,0,HIGH
60,130760.89,687,2,29,MEDIUM
60,49228.17,432,5,26,HIGH
50,133854.68,554,5,13,HIGH
28,39192.57,419,2,8,HIGH
28,33954.62,675,1,8,HIGH
50,67634.42,780,5,30,HIGH
55,73552.59,780,5,4,HIGH
47,102555.39,826,3,19,MEDIUM
47,137503.53,543,0,22,LOW
44,48724.17,627,1,24,MEDIUM
44,34220.62,751,2,17,HIGH
62,66116.88,603,2,6,HIGH
28,138728.33,821,3,2,MEDIUM
63,48089.02,727,4,0,HIGH
24,118775.73,524,1,4,MEDIUM
57,47240.29,824,4,6,HIGH
58,48562.02,845,1,10,MEDIUM
30,119003.18,705,0,8,LOW
30,143465.86,676,2,10,MEDIUM
32,35520.94,843,0,4,MEDIUM
21,66063.8,803,1,1,MEDIUM
41,23941.07,535,0,4,HIGH
47,86708.52,781,0,15,LOW
49,117696.1,662,4,3,HIGH
49,83972.16,714,0,23,LOW
63,86138.5,634,5,30,HIGH
