study_hours,attendance,previous_score,assignments_completed,practical_score,performance
3.0,99.9,88.4,7,81.2,MEDIUM
18.2,95.9,39.6,2,59.3,MEDIUM
6.9,60.7,74.3,10,72.9,MEDIUM
12.7,99.8,68.4,8,70.3,HIGH
16.2,90.7,42.2,9,83.3,MEDIUM
9.1,75.3,49.4,6,89.6,MEDIUM
15.2,87.8,54.7,6,79.9,MEDIUM
14.4,61.9,93.1,2,45.5,MEDIUM
4.8,74.4,81.9,6,88.7,MEDIUM
20.4,81.4,70.4,6,80.2,HIGH
15.6,94.3,94.3,7,92.1,HIGH
25.8,98.6,72.8,6,46.2,HIGH
18.7,62.0,65.4,2,61.0,MEDIUM
20.4,60.2,52.5,4,88.4,MEDIUM
29.9,98.9,86.6,10,80.5,HIGH
20.4,82.4,76.4,5,41.7,MEDIUM
11.0,89.3,93.1,6,40.4,MEDIUM
30.7,80.5,60.2,3,84.5,HIGH
34.1,59.1,68.4,7,65.2,HIGH
13.2,71.7,80.5,10,75.8,HIGH
31.2,62.0,82.5,1,80.4,MEDIUM
11.0,84.8,65.6,8,64.9,MEDIUM
9.1,78.1,56.7,2,57.0,MEDIUM
24.4,76.9,77.0,1,53.2,MEDIUM
34.5,57.5,47.9,4,86.0,MEDIUM
27.2,68.0,42.6,8,84.8,MEDIUM
7.8,72.1,79.3,9,73.5,MEDIUM
24.0,70.9,60.0,1,66.2,MEDIUM
17.2,58.5,54.7,7,74.4,MEDIUM
25.4,73.8,42.3,1,98.0,MEDIUM
7.7,97.6,64.0,6,45.3,MEDIUM
29.9,65.9,72.1,9,44.7,HIGH
30.7,88.6,49.0,3,44.6,MEDIUM
22.9,78.9,47.2,6,61.1,MEDIUM
33.6,84.0,44.3,2,48.8,MEDIUM
8.5,82.1,82.9,2,50.6,MEDIUM
27.5,77.2,82.5,10,66.9,HIGH
32.5,80.4,75.0,10,59.4,HIGH
34.0,69.2,62.7,8,66.5,HIGH
12.0,67.4,38.5,9,44.5,MEDIUM
17.2,56.7,58.2,5,44.6,MEDIUM
30.5,93.5,73.7,9,63.1,HIGH
21.2,97.9,81.6,1,67.0,HIGH
28.7,84.3,55.3,8,70.1,HIGH
33.6,75.3,86.1,6,98.9,HIGH
4.8,84.1,37.5,8,99.5,MEDIUM
19.3,82.4,57.9,5,63.2,MEDIUM
27.6,85.6,38.3,6,44.0,MEDIUM
5.1,85.5,52.9,10,92.4,MEDIUM
13.0,81.2,43.9,6,58.6,MEDIUM
23.6,84.8,43.1,2,58.6,MEDIUM
14.4,90.6,86.2,9,45.6,HIGH
24.1,77.9,36.1,5,50.8,MEDIUM
9.1,97.6,65.6,4,100.0,MEDIUM
7.1,68.3,84.7,9,86.3,MEDIUM
29.6,94.8,37.4,6,92.6,HIGH
22.4,81.9,44.7,3,89.9,MEDIUM
27.4,91.4,45.4,8,42.6,HIGH
14.0,87.4,96.1,10,57.1,HIGH
26.7,75.2,68.6,5,97.9,HIGH
27.9,95.7,47.2,10,99.1,HIGH
17.2,67.7,59.1,9,65.1,MEDIUM
7.3,64.0,73.1,5,43.1,MEDIUM
17.9,71.7,93.9,9,91.1,HIGH
11.4,89.3,52.2,9,48.8,MEDIUM
16.4,97.6,49.0,8,93.1,HIGH
32.7,73.7,60.0,6,54.1,HIGH
34.8,71.9,36.8,2,90.4,MEDIUM
23.4,90.6,43.7,5,95.0,MEDIUM
17.6,92.4,82.8,8,66.9,HIGH
2.2,58.6,51.1,3,72.9,LOW
26.0,78.7,42.0,5,54.3,MEDIUM
6.0,65.7,75.3,10,67.4,MEDIUM
5.7,95.7,72.6,1,77.9,MEDIUM
21.0,87.3,53.4,1,76.9,MEDIUM
9.9,73.7,76.9,2,71.4,MEDIUM
13.9,97.9,69.3,9,73.2,HIGH
14.9,76.2,75.0,6,55.2,MEDIUM
2.5,90.5,56.7,2,86.3,MEDIUM
26.3,70.0,37.8,9,60.3,MEDIUM
23.2,92.4,78.1,8,77.9,HIGH
28.8,57.8,83.9,8,42.2,HIGH
8.7,90.6,90.8,6,96.0,HIGH
19.0,99.5,69.2,5,42.2,MEDIUM
23.3,67.9,89.3,1,91.9,MEDIUM
13.0,60.6,58.2,7,84.6,MEDIUM
31.5,72.4,96.3,8,81.5,HIGH
14.1,90.9,51.8,2,83.6,MEDIUM
4.6,82.1,86.8,9,57.6,MEDIUM
5.4,69.8,53.6,8,76.2,MEDIUM
16.1,86.0,57.1,1,83.6,MEDIUM
32.1,82.7,62.4,1,44.5,MEDIUM
23.0,71.3,85.5,3,97.2,HIGH
6.7,82.3,84.2,1,47.6,MEDIUM
9.8,84.0,57.8,10,41.9,MEDIUM
7.1,75.2,58.4,8,85.8,MEDIUM
20.9,78.8,60.1,5,55.0,MEDIUM
5.7,88.1,66.4,7,94.8,MEDIUM
5.9,89.9,79.4,4,99.8,MEDIUM
11.4,96.2,65.9,2,48.1,MEDIUM
4.4,62.8,79.9,2,88.6,MEDIUM
33.9,99.4,77.1,2,73.0,HIGH
11.6,68.5,44.9,3,87.6,MEDIUM
18.8,60.5,47.7,3,54.2,MEDIUM
18.3,71.2,71.1,8,88.2,HIGH
20.2,82.5,40.4,5,63.9,MEDIUM
25.7,76.5,60.9,7,89.4,HIGH
4.4,98.8,75.5,8,67.9,MEDIUM
19.1,60.8,87.2,9,78.4,HIGH
8.0,98.5,62.3,1,89.9,MEDIUM
19.1,68.7,45.2,4,60.8,MEDIUM
33.0,95.3,88.3,5,51.8,HIGH
33.6,67.4,74.4,10,72.0,HIGH
